url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_inthyperlinks,ratio_exthyperlinks,ratio_nullhyperlinks,nb_extcss,ratio_intredirection,ratio_extredirection,ratio_interrors,ratio_exterrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intmedia,ratio_extmedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
http://www.ciclic.fr/,21,13,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,6,6,0,4,4,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,85,0,0,0,0,1,0,116,3902,544866,0,0,3,0
http://www.softpedia.com/get/System/File-Management/Text-File-Splitter.shtml,76,17,0,3,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,10,4,3,3,3,10,9,10,5,6,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,66,0,0,0,1,0,0,698,6242,2409,0,0,6,0
https://redirectlyoseven.web.app/kl/wone.html?email=jtsoi@enevate.com,69,24,0,4,0,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,2,3,2,16,16,7,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,156,574,0,0,1,2,1
http://www.iscbankofamerica.net,31,24,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,3,3,3,0,16,16,0,9,9,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,120,246,0,0,0,0,1
http://mail.brunchenbabbels.com/~u43730p39181/pki-validation,60,24,0,2,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,3,4,3,15,15,13,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,217,514,0,0,1,0,1
https://superbahisgir12.blogspot.com/,37,28,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,8,8,0,15,15,0,11,11,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,1,0,0,374,7295,0,0,1,5,1
https://www.simplycarbonfiber.com/,34,25,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,17,17,0,10,10,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,1,64,0,95,4,0,0,0,37,0,0,0,1,1,0,107,2085,156886,0,0,2,0
http://alertagrcolombio.webcindario.com/,40,32,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,11,11,0,16,16,0,13,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,1,0,0,952,7083,17964,0,1,3,1
https://repassefeminista.wordpress.com/,39,30,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,9,9,0,16,16,0,12,12,0,0,1,0,0,0,0,106,0,0,0,8,0,0,0,0,0,1,65,0,0,100,0,0,0,100,0,0,0,1,1,0,587,7448,0,0,0,8,0
https://wildcat.ie/,19,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,7,0,7,7,0,7,7,0,0,0,0,0,0,0,72,0,0,0,1,0,0,0,0,0,1,80,0,25,75,0,0,0,13,0,0,0,0,0,0,319,5890,2438924,0,0,2,0
http://www.dacompsc.com/modules/mod_custom/Acesso-Seguro-painel/Acesso-Seguro/identificacao-jsf/,96,16,0,2,4,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,5,3,3,3,13,8,13,6,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,354,6950,0,0,1,0,1
https://www.tripadvisor.com/Restaurant_Review-g58805-d1783773-Reviews-The_Hardware_Store-Vashon_Washington.html,111,19,1,3,5,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,5,3,3,3,11,11,10,6,7,6,2,1,0,0,0,0,953,0,0,0,123,0,0,0,0,0,1,0,0,70,29,0,0,0,71,0,0,0,0,1,0,609,7792,557,0,0,8,0
https://frontier.ac.uk/Publications/Files/2014_04_17_15_34_41_698.pdf,69,14,0,3,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,2,8,2,12,8,12,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,1213760,0,1,4,0
http://secure-login-portal-outlook.el.r.appspot.com/dashboard,61,44,0,4,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,8,2,1,1,9,9,7,9,5,4,9,1,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,1,0,0,20,80,0,0,0,25,0,0,0,1,1,0,228,5615,0,0,1,5,1
https://client-webhook-dot-qp-keybank-rrva-2020-04.uc.r.appspot.com/,68,59,0,4,7,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,11,3,1,1,0,7,7,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,231,5613,7198650,0,1,5,1
https://www.impotspublicservice.com/8f6c2005856507a5981b73c5594988a6/,69,27,1,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,3,3,32,32,19,32,18,11,32,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,1,0,85,0,100,0,0,0,0,85,0,0,0,1,0,0,214,152,5008870,0,1,0,1
http://jurnal.stai-aljawami.ac.id/.well-known/pki-validation/emoji/main/main/doc/hub,84,26,0,4,3,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,12,1,3,4,3,10,8,10,4,6,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,55,0,100,0,0,0,0,100,0,0,0,1,0,0,320,1872,7645052,0,1,1,1
